,users,text,favorite_count,retweet_count,created_at
141,VancityReynolds,@RichardERoeper ✈️ 🚂 🚗 ❤️,994,11,2022-10-26 09:33:12+00:00
142,VancityReynolds,"@Molly36317286 Thank you, Molly. It was just a so so birthday if I’m being honest.",84,2,2022-10-26 00:12:53+00:00
143,VancityReynolds,⚔️🏴󠁧󠁢󠁷󠁬󠁳󠁿⚔️ https://t.co/63RxNZJ1pa,5823,145,2022-10-25 20:58:00+00:00
144,VancityReynolds,@beth_sear Run away children. Get away from the bad balloon.,1928,25,2022-10-25 20:57:20+00:00
145,VancityReynolds,@Wrexham_AFC @steaddotphotos Unsubscribe.,2332,27,2022-10-25 19:52:03+00:00
146,VancityReynolds,@CBCLarsen @CBCVancouver @amyobrian …bummer?,191,8,2022-10-25 19:25:33+00:00
147,VancityReynolds,@ianhanomansing Correct answer.,658,16,2022-10-25 15:50:10+00:00
148,VancityReynolds,🎂 👕 https://t.co/AOiFcZAanh,163215,5179,2022-10-25 15:03:50+00:00
149,VancityReynolds,Easy as 12345. @1Password https://t.co/GYyAf5zdzp,10562,644,2022-10-25 14:01:09+00:00
150,VancityReynolds,@LadderOrg ☺️,841,17,2022-10-24 12:20:03+00:00
151,VancityReynolds,@BCLions Thank you!!!!,559,12,2022-10-23 18:25:58+00:00
152,VancityReynolds,"I feel this birthday post, @MaximumEffort https://t.co/EvVUsaas8T",11789,674,2022-10-23 15:35:46+00:00
153,VancityReynolds,@Mintmobile This happened!!!! ⚔️🏴󠁧󠁢󠁷󠁬󠁳󠁿⚔️,600,6,2022-10-23 15:23:26+00:00
154,VancityReynolds,@RealHughJackman I will never hurt you the way this candle did.,13151,448,2022-10-23 15:21:51+00:00
155,VancityReynolds,@brittlestar 🫡,1040,13,2022-10-23 13:51:19+00:00
156,VancityReynolds,@LanceUlanoff ☺️,1701,15,2022-10-23 13:50:16+00:00
157,VancityReynolds,@maddyeisenberg @AviationGin ❤️❤️❤️❤️❤️❤️,420,2,2022-10-23 12:47:57+00:00
158,VancityReynolds,@MaximumEffort This is my love language.,944,19,2022-10-23 12:32:50+00:00
159,VancityReynolds,"@RMcElhenney @Wrexham_AFC Good god, McElhenney",5391,53,2022-10-23 12:06:52+00:00
160,VancityReynolds,@Wrexham_AFC I think I preferred the colonoscopy,2476,32,2022-10-23 11:58:45+00:00
